**Coletado no dia 12/07 por Gustavo Guedes,,,,,,
disciplina,turma,nome,professor,departamento,ano/periodo,horario
CC79G,S51,Obras De Construção Pesada,ADALBERTO - Adalberto Matoski,DACOC,2022/2,"2N1,2T6,4N1,4T6"
ECMS20,PGEC,Software R Aplicado À Estatística,ADALBERTO - Adalberto Matoski,DACOC,2022/2,"5M2,5M3,5M4,5M5"
AU67Q,S53,Engenharia De Avaliação,ADAUTO - Adauto Jose Miranda De Lima,DACOC,2022/2,"3N1,3N2,3N3"
CC7AC,S51,Engenharia De Avaliação,ADAUTO - Adauto Jose Miranda De Lima,DACOC,2022/2,"3N4,3N5,5N4,5N5"
CC7AW,S51,Patologia E Recuperação Das Construções,ADAUTO - Adauto Jose Miranda De Lima,DACOC,2022/2,"5N2,5N3"
CC74E,S51,Resistência Dos Materiais 1,ALBERTI - Mauro Edson Alberti,DACOC,2022/2,"5T4,5T5,6T4,6T5"
CC74E,S55,Resistência Dos Materiais 1,ALBERTI - Mauro Edson Alberti,DACOC,2022/2,"4M1,4M2,6M3,6M4"
CC75E,S51,Resistência Dos Materiais 2,ALBERTI - Mauro Edson Alberti,DACOC,2022/2,"3T4,3T5,6T2,6T3"
CC76G,S51,Gestão De Operações E Logística,ALFREDO - Alfredo Iarozinski Neto,DACOC,2022/2,"3T4,3T5,5N1,5T6"
ECNC01,PGEC,Metodologia Científica,ALFREDO - Alfredo Iarozinski Neto,DACOC,2022/2,"3N1,3N2,3N3,3N4"
ECNC08,PGEC,Projeto De Tese,ALFREDO - Alfredo Iarozinski Neto,DACOC,2022/2,"4N1,4N2"
CC70D,S51,Fundamentos Jurídicos Na Engenharia Civil,ALTAMIRO - Altamiro Alves Dos Santos,DACOC,2022/2,"4N2,4N3"
CC79D,S55,"Ética, Profissão E Cidadania",ALTAMIRO - Altamiro Alves Dos Santos,DACOC,2022/2,"3M2,3M3"
CC7AY,S51,Pontes,AMACIN - Amacin Rodrigues Moreira,DACOC,2022/2,"2N1,2N2,2N3,2T6"
CC72A,S55,Geologia E Pedologia,AMANDA - Amanda Dalla Rosa Johann,DACOC,2022/2,"3T2,3T3"
CC72A,S56,Geologia E Pedologia,AMANDA - Amanda Dalla Rosa Johann,DACOC,2022/2,"3T4,3T5"
CC75A,S55,Mecânica Dos Solos,AMANDA - Amanda Dalla Rosa Johann,DACOC,2022/2,"5T2,5T3,5T4"
CC75A,S56,Mecânica Dos Solos,AMANDA - Amanda Dalla Rosa Johann,DACOC,2022/2,"5T2,5T3,5T4"
